crn,course,title,faculty,meeting,credits,enrolled
10959,AFSC 101 002,FOUNDATION OF THE USAF I,Faculty:,Meeting: 02:00PM - 02:50PM W TBA TBA; 04:00PM - 05:59PM W TBA TBA,2,Enrolled: 1 (Max 19)
10960,AFSC 101 003,FOUNDATION OF THE USAF I,Faculty:,Meeting: 08:00AM - 08:50AM M TBA TBA; 04:00PM - 05:59PM W TBA TBA,2,Enrolled: 0 (Max 19)
10961,AFSC 201 001,EVOLUTION OF AIR POWER I,Faculty:,Meeting: 03:00PM - 03:50PM W TBA TBA; 04:00PM - 05:59PM W TBA TBA,2,Enrolled: 0 (Max 19)
10962,AFSC 201 002,EVOLUTION OF AIR POWER I,Faculty:,Meeting: 09:00AM - 09:50AM M TBA TBA; 04:00PM - 05:59PM W TBA TBA,2,Enrolled: 0 (Max 19)
10963,AFSC 301 001,AIR FORCE LEADERSHIP STUDY I,Faculty:,Meeting: 11:30AM - 02:29PM T TBA TBA; 04:00PM - 05:59PM W TBA TBA,3,Enrolled: 1 (Max 19)
10964,AFSC 401 001,NATIONAL SECURITY AFFAIRS I,Faculty:,Meeting: 10:00AM - 12:59PM W TBA TBA; 04:00PM - 05:59PM W TBA TBA,3,Enrolled: 0 (Max 19)
13072,AMCI 400 001,AMC HONOR THESIS,"Faculty: Maas, Michael R.",Meeting: TBA TBA,3,Enrolled: 1 (Permission Required)
10231,ANTH 200 001,INTRO TO STUDY OF LANGUAGE,"Faculty: Taylor, Christopher M.",Meeting: 10:00AM - 10:50AM MWF TBA TBA,3,Enrolled: 26 (Max 75)
12666,ANTH 200 003,INTRO TO STUDY OF LANGUAGE,"Faculty: Oko, Christina W.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 15 (Max 50)
12699,ANTH 201 001,INTRO TO SOCIAL/CULTURAL ANTH,"Faculty: Howe, Alyssa C.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 80 (Max 100)
11092,ANTH 203 001,INTRO TO PHYSICAL ANTHROPOLOGY,"Faculty: McIntosh, Susan K.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 13 (Max 49)
11315,ANTH 205 001,INTRO TO ARCHAEOLOGY,"Faculty: Fleisher, Jeffrey B.",Meeting: 09:25AM - 10:40AM TR TBA TBA,3,Enrolled: 20 (Max 49)
10240,ANTH 300 001,LINGUISTIC ANALYSIS,"Faculty: Watters, Stephen",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 1 (Max 34)
10233,ANTH 301 001,PHONETICS,Faculty:,Meeting: 01:00PM - 01:50PM MWF TBA TBA,3,Enrolled: 0 (Max 24)
12493,ANTH 311 001,MASCULINITIES,"Faculty: Riedel, Brian S.",Meeting: 01:00PM - 02:15PM TR TBA TBA,3,Enrolled: 13 (Max 25)
12742,ANTH 312 001,AFRICAN PREHISTORY,"Faculty: Fleisher, Jeffrey B.",Meeting: 01:00PM - 02:15PM TR TBA TBA,3,Enrolled: 8 (Max 19)
10831,ANTH 313 001,LANGUAGE AND CULTURE,"Faculty: Oko, Christina W.",Meeting: 01:00PM - 02:15PM TR TBA TBA,3,Enrolled: 10 (Max 30)
11737,ANTH 324 001,DOCUMENTARY PRODUCTION,"Faculty: Stringer, Tish M.; Huberman, Brian M.",Meeting: 02:30PM - 05:29PM R TBA TBA,3,Enrolled: 1 (Max 19)
12966,ANTH 330 001,GEOARCHAEOLOGY,"Faculty: Costa, August G.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 4 (Max 19)
12499,ANTH 340 001,NEOLIBERALISM & GLOBALIZATION,"Faculty: Boyer, Dominic C.",Meeting: 01:00PM - 02:15PM TR TBA TBA,3,Enrolled: 18 (Max 25)
12814,ANTH 344 001,CITY/CULTURE,"Faculty: Cohen, Camille R.",Meeting: 09:25AM - 10:40AM TR TBA TBA,3,Enrolled: 19 (Max 19)
12495,ANTH 347 001,THE U.S. AS A FOREIGN COUNTRY,"Faculty: Faubion, James D.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 18 (Max 19)
13008,ANTH 365 001,POLITICS OF REPRESENTATION,"Faculty: Sharim, Yehuda",Meeting: 02:30PM - 03:45PM TR TBA TBA,3,Enrolled: 6 (Max 45)
11616,ANTH 381 001,MEDICAL ANTHROPOLOGY,"Faculty: Mitchell, Beverly M.",Meeting: 01:00PM - 02:15PM TR TBA TBA,3,Enrolled: 19 (Max 19)
12640,ANTH 387 001,ASIAN AMERICAN COMMUNITIES,"Faculty: Peche, Linda H.",Meeting: 10:50AM - 12:05PM TR TBA TBA,3,Enrolled: 1 (Max 19)
